EngGamename,Serial,crc
Powerpuff Girls| The - Paint the Townsville Green (USA) (Rev B),CGB-BPTE-USA,443367AE
Powerpuff Girls| The - Panique A Townsville (France),CGB-BPTP-EUR,79A417DB
Pro Darts (USA),CGB-AVDE-USA,834A72C0
Pro Foot (France) (En|Fr|De|Es|It|Nl|Sv),DMG-AAFF-FRA,A9905932
Pro Mahjong Kiwame GB II (Japan) (SGB Enhanced),DMG-AA2J-JPN,14F91F86
Pro Mahjong Tsuwamono GB (Japan) (SGB Enhanced),DMG-AQDJ-JPN,1461D8D8
Pro Mahjong Tsuwamono GB2 (Japan),CGB-BMWJ-JPN,F03016F5
Pro Pool (Europe) (En|Fr|De),CGB-BPLP-EUR,21A4DA64
Pro Pool (USA) (En|Fr|De),CGB-BPLE-USA,04D3031A
Project S-11 (USA),CGB-BPJE-USA,20CEE2E8
Puchi Carat (Europe) (SGB Enhanced),DMG-AIQP-EUR,A9A89DDA
Puchi Carat (Japan) (SGB Enhanced),DMG-ACUJ-JPN,F0D0C36D
Pumuckls Abenteuer bei den Piraten (Germany),CGB-AVED,F55CDB79
Pumuckls Abenteuer im Geisterschloss (Germany),CGB-BPCD-NOE,87FCEC24
Puyo Puyo Gaiden - Puyo Wars (Japan) (SGB Enhanced),DMG-AWYJ-JPN,67350BC9
Puzz Loop (Japan),DMG-BPZJ-JPN,AF858234
Puzzle Bobble 4 (Japan),DMG-AA4J-JPN,79A35284
Puzzle Bobble Millennium (Japan),CGB-BP5J-JPN,00FDED94
Puzzle Master (USA),DMG-AZOE-USA,06EB7A01
Puzzle de Shoubuyo! Wootama-chan (Japan),DMG-BKUJ-JPN,73ED3042
Puzzled (Europe) (En|Fr|De),CGB-AZWP-EUR,15B44D68
Puzzled (USA),CGB-BP3E-USA,F03FFDAF
Q-bert (USA),CGB-BQTE-USA,90F46D7E
QIX Adventure (Europe),CGB-AQYP-EUR,D729DB40
QIX Adventure (Japan),CGB-AQSJ-JPN,5ACEA4A9
Quest - Fantasy Challenge (USA) (SGB Enhanced),DMG-AQTE-USA,98285775
Quest RPG - Brian's Journey (USA),DMG-AQRE-USA,9AC27645
Quest for Camelot (Europe) (En|Fr|De|Es|It|Nl) (SGB Enhanced),DMG-ACNP-EUR,CE55A4DE
Quest for Camelot (USA) (En|Fr|Es) (SGB Enhanced),DMG-ACNE-USA,D903DB7D
Qui Qui (Japan),DMG-AQUJ-JPN,56D76BA2
R-Type DX (Japan),DMG-ARUJ-JPN,3623EBB6
RPG Tsukuru GB (Japan),CGB-A2QJ-JPN,0B614307
Rampart (USA),CGB-A5RE-USA,D5AEED2E
Rats! (USA) (En|Es),DMG-AVTE-USA,17635AD1
Rayman (Europe) (En|Fr|De|Es|It|Nl),CGB-AYQP-EUR,C430A89A
Rayman (USA) (En|Fr|De|Es|It|Nl),CGB-AYQE-USA,EDA12F0D
Rayman - Mister Dark no Wana (Japan),CGB-BURJ-JPN,3FDE5BAC
Rayman 2 - The Great Escape (Europe) (En|Fr|De|Es|It),CGB-BRYP-EUR,250015D4
Rayman 2 - The Great Escape (USA) (En|Fr|De|Es|It),CGB-BRYE-USA,6F5C315D
Razmoket a Paris| Les - Le Film (France),CGB-BRPP-EUR,094494E9
Razmoket| Les - 100% Angelica (France),CGB-BAGP-EUR,1D66CB29
Razmoket| Les - Voyage dans le Temps (France),DMG-AVMP,2F8FEF3F
Razor Freestyle Scooter (USA),CGB-BRZE-USA,5C201286
Ready 2 Rumble Boxing (Europe),CGB-AQOP-EUR,BEA36BF9
Ready 2 Rumble Boxing (USA) (Rumble Version),CGB-VRRE-USA,345E20A4
Real Pro Yakyuu! - Central League Hen (Japan) (SGB Enhanced),DMG-AECJ-JPN,AFFF6BB9
Real Pro Yakyuu! - Pacific League Hen (Japan) (SGB Enhanced),DMG-AEPJ,16B81C36
Rescue Heroes - Fire Frenzy (USA),CGB-BRQE-USA,77A4DC63
Reservoir Rat (Europe) (En|Fr|De|Es|It),DMG-AVTP-EUR,22621803
Resident Evil Gaiden (Europe) (En|Fr|De|Es|It),CGB-BIOP-EUR,F85C3F2C
Resident Evil Gaiden (USA),CGB-ARHE-USA,F8C5021B
Return of the Ninja (Europe),CGB-BNJP-EUR,8E04849A
Return of the Ninja (USA),CGB-BNJE-USA,A07DA702
Revelations - The Demon Slayer (USA) (SGB Enhanced),DMG-ALBE-USA,D1A65D74
Rip-Tide Racer (Europe) (En|Fr|De|Es|It),DMG-AXYP-EUR,AB8C3A31
Roadsters Trophy (Europe) (En|Fr|De|Es|It|Nl),DMG-ARRP-EUR,717B3525
Roadsters Trophy (USA) (En|Fr|De|Es|It|Nl),DMG-ARPE-USA,38B022BE
RoboCop (Europe) (En|Fr|De|Es|It|Nl),CGB-BR9P-EUR,6C6423E2
Robopon - Sun Version (USA) (SGB Enhanced),DMG-HREE-USA,32CAEF11
Robot Poncots - Comic Bom Bom Special Version (Japan) (SGB Enhanced),DMG-H5UJ-JPN,4AA209CD
Robot Poncots - Moon Version (Japan) (SGB Enhanced),DMG-B3UJ,87A29030
Robot Poncots - Star Version (Japan) (SGB Enhanced),DMG-HRCJ,B28F32AC
Robot Poncots - Sun Version (Japan) (SGB Enhanced),DMG-HREJ-JPN,CB0B8003
Robot Wars - Metal Mayhem (Europe) (En|Fr|De|It|Nl|Sv),CGB-BRWP-EUR,E99BDEE6
Rockman X - Cyber Mission (Japan),DMG-BRXJ-JPN,919077AB
Rockman X2 - Soul Eraser (Japan),CGB-BXRJ-JPN,17913DD0
Rocky Mountain Trophy Hunter (USA),CGB-BRME-USA,9AA5B021
Roi Lion| Le - Les Adventures de Simba (France),CGB-BLKP-EUR,6467FBA0
Rokumon Tengai Mon-Colle-Knight GB (Japan),CGB-BKDJ-JPN,E48ADF8D
