Internalname,Serial,EngGamename,ChiGamename
LUNARLANDER,AGB-B62P-EUR,"3 in 1 - Super Breakout, Lunar Lander and Millipede (E)",街机游戏3合1-蜈蚣.方块射击.登月 (EU)(M5)(Zoo Digital)
ASTEROIDPONG,AGB-B64P-EUR,"3 in 1 - Asteroids, Yar's Revenge and Pong (E)",街机游戏3合1-碰碰弹珠台.爆破慧星与亚尔的复仇 Pong – Asteroids – Yars' Revenge(EU)(M5)(Zoo Digital)
BRATZ ROCK A,AGB-BRRD-DEU,Bratz Rock Angelz (G),贝兹-摇滚天使 Bratz – Rock Angelz(DE)(THQ)
TOTALLYSPIES,AGB-BTUP-EUR,Totally Spies! (E),神探少女组! Totally Spies!(EU)(M6)(Atari)
NFSMW,AGB-BNWE-USA,Need for Speed Most Wanted (U),极品飞车 最高通缉 Need for Speed – Most Wanted(EU)(M4)(Electronic Arts)
INCREDBLROTU,AGB-BIQE-USA,The Incredibles - Rise of the Underminer (U),"超人特攻队 Incredibles, The – Rise of the Underminer(US)(THQ)"
ULTIMATE PUZ,AGB-BUAE-USA,Ultimate Puzzle Games (U),终极智力游戏 Ultimate Puzzle Games(US)(Telegames)
ROCKEXE6_RXX,AGB-BR6J-JPN,RockMan EXE 6 - Dennoujuu Faltzer (J),洛克人战斗网络EXE 6-电脑兽法尔扎 Rockman EXE 6 – Dennoujuu Faltzer(JP)(Capcom)
ROCKEXE6_GXX,AGB-BR5J-JPN,RockMan EXE 6 - Dennoujuu Grega (J),洛克人战斗网络EXE 6-电脑兽格莱伽 Rockman EXE 6 – Dennoujuu Grega(JP)(Capcom)
WINXCLUB,AGB-BWIP-EUR,WinX Club (E),粉红女郎俱乐部 WinX Club(EU)(M5)(Konami)
TIERPENSION,AGB-BQTP-EUR,My Pet Hotel (E),我的宠物旅馆 My Pet Hotel(EU)(M2)(DTP)
SHAMUSADV,AGB-BBAE-USA,Sea World - Shamu's Deep Sea Adventure (U),深海冒险 Shamu's Deep Sea Adventures(US)(Activision)
TROLLZHAIRAF,AGB-BT6E-USA,Trollz - Hair Affair (U),奇幻慢舞! Trollz – Hair Affair!(US)(Ubi Soft)
OTTIFANTEN P,AGB-BOFD-DEU,Ottifanten Pinball (G),快乐河马弹球台 Ottifanten Pinball(EU)(Trend Verlag)
DYN WARS ADV,AGB-B36P-EUR,Dynasty Warriors Advance (E),三国无双A Dynasty Warriors Advance(EU)(M5)(Nintendo)
DRMARIO&PONE,AGB-BZPE-USA,2 in 1 - Dr. Mario and Puzzle League (U),新游戏2合1-马里奥医生与花仙子方块 Dr. Mario & Puzzle League(US)(Nintendo)
FRANKLIN,AGB-BFLP-EUR,Franklin's Great Adventure (E),弗兰克林大冒险 Franklin's Great Adventures(EU)(M8)(Neko Entertainment)
PENGUINS,AGB-BM7Y-EUU,Madagascar - Operation Penguin (E),马达加斯加 Madagascar – Operation Penguin(EU)(M2)(Activision)
CRAZY FROG K,AGB-BCRP-EUR,Crazy Frog Racer (E),疯狂青蛙赛车 Crazy Frog Racer(EU)(M4)(DTP)
FRANKLIN,AGB-BFKE-USA,Franklin The Turtle (U),弗兰克林海龟 Franklin the Turtle(US)(M9)(The Game Factory)
CARE_BEARS,AGB-BEAE-USA,Care Bears - Care Quest (U),爱心熊之爱心任务问答 Care Bears – The Care Quests(US)(M3)(The Game Factory)
PROUDFAMILYG,AGB-BD7E-USA,The Proud Family (U),自豪之家 The Proud Family(US)(Ubi Soft)
LBT_ITMB,AGB-BLOP-EUR,Land Before Time - Into the Mysterious Land (E),"史前时代 神秘世纪 Land Before Time, The – Into the Mysterious Land(EU)(M8)(The Game Factory)"
SYUGA2 HEART,AGB-B4LJ-JPN,Sugar Sugar Rune - Heart Ga Ippai! Moegi Gakuen (J),双心之诗 Sugar Sugar Rune – Heart Gaippai! Moegi Gakuen(JP)(Bandai)
RAREDKC3,AGB-BDQJ-JPN,Super Donkey Kong 3 (J),超级大金刚3 Super Donkey Kong Country 3(JP)(Nintendo)
GASH-ZAKERU3,AGB-BUDJ-JPN,Konjiki no Gashbell!! Yuujou no Dengeki Dream Tag Tournament (J),金色卡修 梦之黑暗锦标赛 Konjiki no Gashbell!! Yuujou no Zakeru Dream Tag Tournament(JP)(Banpresto)
MARIOTENNISA,AGB-BTME-USA,Mario Tennis - Power Tour (U),马里奥网球 Mario Tennis Power Tour(US)(M5)(Nintendo)
CRAFTSWORD H,AGB-B3CJ-JPN,Summon Night Craft Sword Monogatari - Hajimari no Ishi (J),召唤之夜 铸剑物语-起源之石 Summon Night Craft Sword Monogatari Hajimari no Ishi(JP)(Banpresto)
FF4ADVANCE,AGB-BZ4J-JPN,Final Fantasy IV Advance (J),最终幻想4 Final Fantasy IV Advance(JP)(Square Enix)
FF4ADVANCE,AGB-BZ4E-USA,Final Fantasy IV Advance (U),最终幻想4 Final Fantasy IV(US)(Nintendo)
SHORTCAKEIRC,AGB-B35P-EUR,Strawberry Shortcake - Ice Cream Island Riding Camp (E),蛋糕上的草莓 冰淇淋小岛 Strawberry Shortcake – Ice Cream Island Riding Camp(EU)(M8)(The Game Factory)
HEIDI,AGB-BHJP-EUR,Heidi - The Game (E),海蒂 Heidi – The Game(EU)(M5)(East Entertainment)
DOGZ,AGB-B82E-USA,Dogz (U),可爱小狗 Dogz(US)(Ubi Soft)
EEE2,AGB-BEDE-USA,"Ed, Edd n Eddy - The Mis-Edventures (U)","顽皮小鬼混乱大冒险 Ed, Edd n Eddy – The Mis-Edventures(US)(Midway)"
ELFBOWL,AGB-BEBE-USA,Elf Bowling 1 & 2 (U),精灵保龄球1 & 2 Elf Bowling 1 & 2(US)(Ignition)
KINGKONG GBA,AGB-BKQE-USA,Kong - The 8th Wonder of the World (U),金刚 Kong – The 8th Wonder of the World(US)(M3)(Ubi Soft)
SNOOD2ONVAC,AGB-B2VP-EUR,Snood 2 - On Vacation (E),束发带射击球2 Snood 2 – Snoods on Vacation(EU)(M5)(Zoo Digital)
TOTALLYSPIES,AGB-BTUE-USA,Totally Spies! (U),间谍少女组! Totally Spies!(US)(Infogrames)
ZATCH EA1,AGB-A4GE-USA,ZatchBell! - Electric Arena (U),魔法少年贾修-电击竞技场 ZatchBell! – Electric Arena(US)(Bandai)
HUBEST_VOL03,AGB-B73J-JPN,Hudson Collection Vol. 3 - Action Collection (J),经典收藏3-动作篇 Hudson Best Collection 3(JP)(Hudson)
TWIN SERIES1,AGB-BFVJ-JPN,Twin Series Vol. 1 - Mezase Debut! Fashion Designer Monogatari & Kawaii Pet Game Gallery 2 (J),双子系列1-流行设计师+可爱宠物系列2 Twin Series 1 – Mezase Debut! Fashion Designer Monogatari + Kawaii Pet Game Gallery 2(JP)(Culture Brain)
HI HI PUFFYA,AGB-BHHE-USA,Hi Hi Puffy AmiYumi - Kaznapped (U),嗨嗨帕妃亚美由美组合 Hi Hi Puffy AmiYumi – Kaznapped(US)(D3)
DBZLEGACY1&2,AGB-BLFE-USA,2 in 1 - Dragon Ball Z - The Legacy of Goku I & II (U),游戏2合1-龙珠2合1游戏合集 Dragonball Z I & II(US)(Infogrames)
KONG:KOA,AGB-BK7E-USA,Kong - King of Atlantis (U),金刚-阿特兰蒂斯之王 Kong – King of Atlantis(US)(Majesco Sales)
PENGUINS,AGB-BM7P-EUR,Madagascar - Operation Penguin (E),马达加斯加 Madagascar – Operation Penguin(EU)(Activision)
GARFIELDTSFP,AGB-BGOE-USA,Garfield - The Search For Pooky (U),加菲猫-寻找波基 Garfield – The Search For Pooky(US)(M5)(The Game Factory)
SEA MONKEYS,AGB-A7ME-USA,The Amazing Virtual Sea Monkeys (U),海底小精灵 The Amazing Virtual Sea Monkeys(US)(Conspiracy)
TTABBD,AGB-ATTE-USA,Tiny Toon Adventures - Scary Dreams (U),乐尼通大冒险 Tiny Toon Adventures – Scary Dreams(US)(Conspiracy)
LA FAMILLE D,AGB-AWLF-FRA,La famille Delajungle - Le Film (F),丛林冒险 La famille Delajungle – Le Film(FR)(THQ)
2IN1_ADV_PIN,AGB-BW5E-USA,2 in 1 - Sonic Advance & Sonic Pinball Party (U),2合1 索尼克大冒险和索尼克弹珠球 2 Games in 1 – Sonic Pinball Party + Sonic Advance(US)(M6)(Sega)
OCHAKENISLAN,AGB-BO2J-JPN,Ochainu no Bouken Jima (J),茶犬的冒险岛 Ochainu no Bouken Jima – Honwaka Yume no Island(JP)(MTO)
HI HI PUFFYA,AGB-BHHJ-JPN,Hi Hi Puffy AmiYumi (J),嗨嗨帕妃亚美由美 Hi! Hi! Puffy AmiYumi(JP)(D3)
PLAYYANMICRO,AGB-ZMBJ-JPN,Play-Yan Micro (J),播放君Mirco Playan Micro(JP)(Nintendo)
CV 2 PACK,AGB-BXKE-USA,2 in 1 - Castlevania Double Pack (U),2合1 – 恶魔城 2 Games in 1 – Castlevania – Harmony of Dissonance + Castlevania – Aria of Sorrow(US)(Konami)
POCKETDOGS,AGB-BTDE-USA,Pocket Dogs (U),口袋小狗 Pocket Dogs(US)(Agatsuma Entertainment)
WINXCLUB,AGB-BWIE-USA,Winx Club (U),粉红女郎俱乐部 WinX Club(US)(Konami)
YUGIOHGXDA,AGB-BYGE-USA,Yu-Gi-Oh! GX - Duel Academy (U),游戏王GX 决斗学院 Yu-Gi-Oh! GX Duel Acadamy(US)(Konami)
LOONEYTUNES2,AGB-BLNP-EUR,2 in 1 - Looney Tunes Double Pack - Acme Antics & Dizzy Driving (E),2合1 – 乐尼通包 2 Games in 1 – Looney Tunes – Acme Antics + Looney Tunes – Dizzy Driving(EU)(THQ)
GHTP MAXD,AGB-BGQE-USA,Greg Hastings' Tournament Paintball Max'd (U),格雷戈哈斯汀 – 彩弹竞技场MAXd Greg Hastings' Tournament Paintball Max'd(US)(Activision)
HELLOKITTY,AGB-B86X-EUU,Hello Kitty - Happy Party Pals (E),凯蒂猫的开心派对 Hello Kitty – Happy Party Pals(EU)(M4)(THQ)
GEORGE,AGB-B3JE-USA,Curious George (U),好奇的乔治 Curious George(US)(Namco)
WILDEKERLE01,AGB-BWUD-DEU,Die wilden Fussball Kerle - Entscheidung im Teufelstopf (G),疯狂破裂橄榄球 Die Wilden Fussball Kerle – Entscheidung im Teufelstopf(DE)(Kiddinx)
DRILL DOZER,AGB-V49E-USA,Drill Dozer (U),螺旋破碎机-轰振 Drill Dozer(US)(Nintendo)
WINTERSPIELE,AGB-BWYP-EUR,Winter Sports (E),冬季奥运会 Winter Sports(EU)(M5)(East Entertainment)
ALIENHOMINID,AGB-BAHP-EUR,Alien Hominid (E),外星原始人 Alien Hominid(EU)(M5)(Zoo Digital)
CN SPEED&BLK,AGB-BW2P-EUR,2 in 1 - Cartoon Network - Block Party & Speedway (E),2合1 – 卡通频道-疯狂派对+卡通频道-高速飙车 2 Games in 1 – Cartoon Network – Block Party + Cartoon Network – Speedway(EU)(THQ)
BIGMTRUCKER,AGB-B63P-EUR,Big Mutha Truckers (E),重金属卡车 Big Mutha Truckers(EU)(M5)(Destination Software)
FORDRACING3,AGB-BF3P-EUR,Ford Racing 3 (E),福特赛车3 Ford Racing 3(EU)(M5)(LSP)
,,GBADev 2004Mbit Competition (U),GBADev 2004Mbit – 自制小游戏合集 GBADev 2004Mbit Competition(US)(Nintendo)
PRANGERS_SPD,AGB-BRDX-EUU,Power Rangers - Space Patrol Delta (E),恐龙战队SPD Power Rangers – Space Patrol Delta(EU)(M3)(THQ)
SUDOKU FEVER,AGB-B3ZE-USA,Sudoku Fever (U),填字解迷 Global Star Sudoku Fever(US)(Take 2)
SHAMAN KING2,AGB-B2MP-EUR,Shaman King - Master of Spirits 2 (E),通灵王 – 精神大师2 Shaman King – Master of Spirits 2(EU)(M3)(Konami)
SBSPUNITE,AGB-BNUP-EUR,Spongebob Squarepants and Friends Unite (E),海绵方块和他的朋友们! Spongebob Squarepants and Friends Unite!(EU)(M5)(THQ)
CV 2 PACK,AGB-BXKP-EUR,2 in 1 - Castlevania Double Pack (E),2合1 – 恶魔城 2 Games in 1 – Castlevania – Harmony of Dissonance + Castlevania – Aria of Sorrow(EU)(M3)(Konami)
TAK GJC,AGB-BJWX-EUU,Tak - The Great Juju Challenge (E),塔克 – 伟大的符咒挑战 Tak – Great Juju Challenge(EU)(M4)(THQ)
3IN1 RECROOM,AGB-BRQP-EUR,3 in 1 - Darts & Shuffle and Skiball (E),飞标竞技3合1 Rec Room Challenge(EU)(THQ)
YUGIOHDMEX06,AGB-BY6J-JPN,Yu-Gi-Oh Duel Monsters Expert 2006 (J),游戏王 – 卡片决斗2006 Yu-Gi-Oh! Duel Monsters Expert 2006(JP)(M7)(Konami)
KIMPOSSIBLE2,AGB-BKMP-EUR,Kim Possible 2 - Drakken's Demise (E),迪斯尼之麻辣女孩2 Disney's Kim Possible 2(EU)(M4)(Ubi Soft)
PAWSANDCLAWS,AGB-BURE-USA,Paws & Claws - Pet Resort (U),我的宠物旅馆 Paws and Claws – Pet Resort(US)(THQ)
DISNEY FB SB,AGB-BFBP-EUR,2 in 1 - Disney Sportpack (E),2合1 – 迪斯尼全明星体育系列 – 足球+滑板 2 Games in 1 – Disney Sports – Football + Disney Sports – Skateboarding(EU)(M5)(Ubi Soft)
NEMOINCREDIB,AGB-BIND-DEU,2 in 1 - Findet Nemo & Die Unglaublichen (G),2合1 – 海底总动员+超人特攻队 2 Games in 1 – Findet Nemo + Die Unglaublichen(DE)(THQ)
NEMO NEMO2,AGB-BFWY-EUU,2 in 1 - Findet Nemo & Das Abenteuer Geht Weiter (E),海底总动员2合1 2 Games in 1 – Findet Nemo + Findet Nemo – Das Abenteuer(DE)(M3)(THQ)
KONGATLANTIS,AGB-BK7P-EUR,Kong - King of Atlantis (E),亚特兰帝斯的金刚 Kong – King of Atlantis(EU)(THQ)
SUPER MARIOC,AGB-A3AC-CHN,Yaoxi Dao (C),小神游-耀西岛 Yaoxi Dao(CN)(iQue)
METFUSIONCHN,AGB-AMTC-CHN,Miteluode Ronghe (C),小神游-银河战士 Miteluode Ronghe(CN)(Nintendo)
PHANTASIA,AGB-AN8E-USA,Tales of Phantasia (U),幻想传说 Tales of Phantasia(US)(Nintendo)
HOLDM&CASINO,AGB-BWCP-EUR,2 in 1 - Golden Nugget Casino & Texas Hold'em Poker (E),游戏2合1-棋牌2合1 2 Games in 1 – Golden Nugget Casino + Texas Hold'em Poker(EU)(THQ)
TRUCKS&QUAD,AGB-BWQP-EUR,2 in 1 - Quad Desert Fury & Monster Trucks (E),游戏2合1-沙漠狂暴人竞技赛+怪兽大脚车 2 Games in 1 – Quad Desert Fury + Monster Trucks(EU)(THQ)
NARUTO US1,AGB-A7AE-USA,Naruto - Ninja Council (U),火影忍者-最强忍者大集合1 Naruto – Ninja Council(US)(Tomy)
AKAGI,AGB-BZWJ-JPN,Akagi (J),赤木 – 麻将传说 Akagi(JP)(Culture Brain)
HUBEST_VOL06,AGB-B76J-JPN,Hudson Best Collection Vol. 6 - Bouken Jima Collection (J),Hudson经典收藏 6 Hudson Best Collection Vol. 6(JP)(Hudson)
UEKIJINGIBTL,AGB-BUHJ-JPN,Ueki no Housoku Shinki Sakuretsu! Nouryokumono Battle (J),植木的法则 Ueki No Housoku(JP)(Banpresto)
SCOOBYUN,AGB-B25X-EUU,Scooby-Doo! Unmasked (E),史酷比 – 揭露 Scooby-Doo! – Unmasked(EU)(M2)(THQ)
KUNIKORE03,AGB-B9CJ-JPN,Kuniokun Nekketsu Collection 3 (J),任天堂国夫君热血纪念合集 Kunio Kun Nekketsu Collection 3(JP)(Atlus)
ICE AGE 2,AGB-BIAE-USA,Ice Age 2 - The Meltdown (U),冰河世纪2 Ice Age 2 – The Meltdown(US)(Vivendi)
YUGIOH 2IN1,AGB-BY2P-EUR,2 in 1 - Yu-Gi-Oh! Double Pack (E),游戏王2合1 2 Games in 1 – Yu-Gi-Oh! The Sacred Cards + Yu-Gi-Oh! Reshef of Destruction(EU)(M5)(Konami)
TMNT GBA 1+2,AGB-BT8P-EUR,2 in 1 - Teenage Mutant Ninja Turtles Double Pack (E),忍者神龟2合1 2 Games in 1 – Teenage Mutant Ninja Turtles + Teenage Mutant Ninja Turtles 2 – Battle Nexus(EU)(M5)(Konami)
YUGIOHWCT06,AGB-BY6E-USA,Yu-Gi-Oh! Ultimate Masters 2006 (U),游戏王UM2006 Yu-Gi-Oh! Ultimate Masters 2006 – World Championship Tournament 2006(US)(M6)(Konami)
KAWANUSHI 34,AGB-BN4J-JPN,Kawa no Nushi Tsuri 3 & 4 (J),河川垂钓3 & 4 Kawa no Nushitsuri 3 & 4(JP)(Victor)
3N1SPORTSPAK,AGB-B3NP-EUR,3 in 1 - Majesco's Sports Pack (E),3合1运动游戏 3 in 1 Sports Pack – Paintball Splat! + Dodgeball – Dodge This! + Big Alley Bowling(EU)(THQ)
YUGIOHWCT06,AGB-BY6P-EUR,Yu-Gi-Oh! Ultimate Masters 2006 (E),游戏王-决斗怪兽专家版2006 Yu-Gi-Oh! Ultimate Masters 2006 – World Championship Tournament 2006(EU)(M7)(Konami)
PAWAPOKED1,AGB-BBQJ-JPN,Pawa Poke Dash (J),力量口袋职棒冲刺 Pawa Poke Dash(JP)(Konami)
YGGDRA UNION,AGB-BYUJ-JPN,Yggdra Union (J),尤古朵拉公主联盟 Yggdra Union(JP)(Sting)
THE TOWER SP,AGB-BTRE-USA,The Tower SP (U),模拟大楼SP Welcome to the Tower SP(US)(M2)(Sega)
CATZ,AGB-AN3E-USA,Catz (U),可爱小猫 Catz(US)(Ubi Soft)
PHANTASIA,AGB-AN8P-EUR,Tales of Phantasia (E),幻想传说 Tales of Phantasia(EU)(M5)(Nintendo)
STREETRACING,AGB-BCZE-USA,Street Racing Syndicate (U),街头赛车 Street Racing Syndicate(US)(Namco)
ICE AGE 2 TH,AGB-BIAP-EUR,Ice Age 2 - The Meltdown (E),冰河世纪2 Ice Age 2 – The Meltdown(EU)(M6)(Vivendi)
TOP SPIN 2,AGB-B27E-USA,Top Spin 2 (U),上旋高手网球2 Top Spin 2(US)(M5)(Gotham Games)
RIDE DREAMER,AGB-BL9E-USA,Let's Ride! Dreamer (U),马场生活 Let's Ride! Dreamer – Inspired by a True Story(US)(THQ)
SUDOKU FEVER,AGB-B3ZP-EUR,Sudoku Fever (E),拼图数独九宫格 Global Star Sudoku Fever(EU)(M5)(Take 2)
LET'S RIDEUS,AGB-B34E-USA,Let's Ride! Sunshine Stables (U),阳光小马棚 Let's Ride! Sunshine Stables(US)(THQ)
SUPER MARIOB,AGB-AA2C-CHN,Chaoji Maliou Shijie (C),小神游-超级马力欧世界 Chaoji Maliou Shijie(CN)(iQue)
WPT2K6,AGB-BWOP-EUR,World Poker Tour (E),世界扑克联赛 World Poker Tour(EU)(M3)(Take 2)
YUGIOHWWE,AGB-AYWJ-JPN,Yu-Gi-Oh! Duel Monsters International (J),游戏王国际版 Yu-Gi-Oh! Duel Monsters – International Worldwilde Edition(JP)(M6)(Konami)
KURESHIN2004,AGB-BKCS-ESP,Shinchan Aventuras en Cineland (S),蜡笔小新 ShinChan – Aventuras en Cineland(ES)(Atari)
NAMCO 50,AGB-B5NP-EUR,Namco Museum 50th Anniversary (E),南梦宫博物馆 Namco Museum 50th Anniversary(EU)(M5)(Namco)
POLARIUMGBA,AGB-BIIP-EUR,Polarium Advance (E),直感一笔 Polarium Advance(EU)(M5)(Nintendo)
EEE2,AGB-BEDP-EUR,Ed Edd n Eddy - The Mis-Edventures (E),"顽皮小鬼混乱大冒险 Ed, Edd n Eddy – The Mis-EDventures(EU)(M2)(Midway)"
ELF,AGB-BELP-EUR,Elf The Movie (E),圣诞精灵－电影版 Elf – The Movie(EU)(M5)(Crave Entertainment)
THE WILD,AGB-BWLE-USA,The Wild (U),狂野大自然 The Wild(US)(M4)(Ubi Soft)
KURESHIN2006,AGB-BC2J-JPN,Crayon Shin chan - Densetsu wo Yobu Omake no Miyako Shockgaan (J),蜡笔小新 2 Crayon Shin-chan – Densetsu wo Yobu Omake no Miyako Shockgaan!(JP)(Banpresto)
NEMO_MON_FRE,AGB-BDZF-FRA,2 in 1 - Monstres & Cie & Le Monde de Nemo (F),2合1 – 怪物工厂 & 海底总动员 2 Games in 1 – Monstres & Cie + Le Monde de Nemo(FR)(M4)(THQ)
F4 FLAME ON,AGB-BH4P-EUR,Fantastic 4 - Flame On (E),神奇4侠 Fantastic 4 – Flame On(EU)(M4)(Activision)
EYESHIELDGBA,AGB-BE4J-JPN,Eyeshield 21 - Devilbats Devildays (J),极速达阵21 － 恶魔蝙蝠恶魔日 Eyeshield 21 – Devilbats Devildays(JP)(Nintendo)
NANPURE,AGB-BUOJ-JPN,Minna no Soft Series Numpla Advance (J),大众软件系列 － 数独 Minna no Soft Series – Numpla Advance(JP)(Activision)
BOF1,AGB-ABFP-EUR,Breath of Fire (E),龙战士 Breath of Fire(EU)(Capcom)
KAWAIIKONEKO,AGB-AN3J-JPN,Nakayoshi Pet Advance Series 3 Kawaii Koneko (J),上旋高手2 Top Spin 2(EU)(M5)(Take 2)
SONICADVANCE,AGB-ASOJ-JPN,Sonic Advance (J),可爱小猫 V1.1 Nakayoshi Pet Advance Series 3 – Kawaii Koneko(JP)(MTO)
TOP SPIN 2,AGB-B27P-EUR,Top Spin 2 (E),索尼克大冒险 V1.1 Sonic Advance(JP)(M2)(Sega)
SCOOBYUN,AGB-B25Y-EUU,Scooby-Doo! - Unmasked (E),史酷比 Scooby-Doo! – Unmasked(EU)(M2)(THQ)
MOTHER3,AGB-A3UJ-JPN,Mother 3 (J),妈咪 3 Mother 3(JP)(Nintendo)
CABBAGE PATC,AGB-BCGE-USA,Cabbage Patch Kids - The Patch Puppy Rescue (U),捲心菜娃娃 – 拯救斑点狗 Cabbage Patch Kids – The Patch Puppy Rescue(US)(D3)
LBT_ITMB,AGB-BLOE-USA,The Land Before Time - Into the Mysterious Beyond (U),历险小恐龙-神秘之境 The Land Before Time – Into the Mysterious Beyond(US)(M3)(The Game Factory)
FRANKLIN,AGB-BFLE-USA,Franklin's Great Adventures (U),小乌龟弗兰克林的大冒险 Franklin's Great Adventures(US)(M3)(The Game Factory)
DANNYPHANTOM,AGB-BUEX-EUU,Danny Phantom - The Ultimate Enemy (E),幻影丹尼 – 最终之敌 Danny Phantom – The Ultimate Enemy(EU)(M3)(THQ)
TITEUF DUO,AGB-BT5F-FRA,2 in 1 - Titeuf Ze Gagmachine & Titeuf Mega Compet (F),2合1 – 坏小子+坏小子 – 迪德夫 2 Games in 1 – Titeuf – Ze Gagmachine + Titeuf – Mega Compet'(FR)(Atari)
FIFA WC,AGB-B6WE-USA,FIFA World Cup 2006 (U),2006 FIFA世界杯 2006 FIFA World Cup(US)(M5)(Electronic Arts)
KONCYUNOMORI,AGB-BQKJ-JPN,Konchuu no Mori no Daibouken (J),昆虫之森大冒险 Konchuu no Mori no Daibouken(JP)(Culture Brain)
HUBEST_VOL01,AGB-B7IJ-JPN,Hudson Best Collection Vol. 1 (J),Hudson – 最佳收藏 Vol. 1 Hudson Best Collection Vol. 1 – Bomberman Collection(JP)(Hudson)
NEMOINCREDIB,AGB-BINP-EUR,2 in 1 - Finding Nemo & The Incredibles (E),2合1 – 海底总动员 + 超人特工队 2 Games in 1 – Finding Nemo + The Incredibles(EU)(THQ)
DRAGONS ROCK,AGB-BJDP-EUR,Dragon's Rock (E),洛克龙大冒险 Dragon's Rock(EU)(M5)(East Entertainment)
POP&LARA,AGB-B2QP-EUR,2 in 1 - Prince of Persia - The Sands of Time & Tomb Raider - The Prophecy (E),2合1 – 波斯王子+古墓丽影 2 Games in 1 – Prince of Persia – The Sands of Time + Tomb Raider – The Prophecy(EU)(M6)(Ubi Soft)
KOALA_BROS,AGB-BAKE-USA,The Koala Brothers - Outback Adventures (U),考拉兄弟 – 内陆冒险 Koala Brothers – Outback Adventures(US)(M8)(Spellbound)
JUKA,AGB-BJKP-EUR,Juka and the Monophonic Menace (E),朱卡和单声威胁 Juka and the Monophonic Menace(EU)(M5)(Zoo Digital)
PMWANDMPMMM,AGB-B6PP-EUR,2 in 1 - Ms. Pac-Man - Maze Madness & Pac-Man World (E),2合1 – 吃豆小精灵大冒险 + 吃豆小精灵世界 2 Games in 1 – Pac-Man World + Ms. Pac-Man – Maze Madness(EU)(M5)(Zoo Digital)
DOCTORSUDOKU,AGB-BUOE-USA,Dr. Sudoku (U),数独博士 Dr. Sudoku(US)(Mastiff Games)
CANEPREMFR00,AGB-MCPF-FRA,Cartoon Network Collection Edition Premium - Gameboy Advance Video (F),卡通网络收集 – 特制版 Game Boy Advance Video – Cartoon Network Collection – Edition Premium(FR)(Majesco Sales)
SPYRO S PACK,AGB-B8SE-USA,2 in 1 - Spyro - Season of Ice & Spyro - Season of Flame (U),2合1 – 小龙史派罗1+2 2 Games in 1 – Spyro – Season of Ice + Spyro 2 – Season of Flame(US)(Vivendi)
ZOKTAI,AGB-U32J-JPN,Zoku Bokura no Taiyou - Taiyou Shounen Django (J),续我们的太阳 Zoku Bokura no Taiyou – Taiyou Shounen Django V1.1(JP)(Konami)
OVER THE HED,AGB-BH5E-USA,Over the Hedge (U),篱笆墙外 Over the Hedge(US)(Activision)
TRINGO,AGB-BTJE-USA,Tringo (U),Tringo Tringo(US)(Crave Entertainment)
MADAGASCAR,AGB-BGZJ-JPN,Madagascar (J),马达加斯加 Madagascar(JP)(Bandai)
HUBEST_VOL04,AGB-B74J-JPN,Hudson Best Collection Vol. 4 - Nazotoki Collection (J),Hudson 经典收藏4 Hudson Best Collection Vol. 4 – Nazotoki Collection(JP)(Hudson)
2IN1_BTL_PIN,AGB-BW6J-JPN,2 in 1 - Sonic Pinball Party & Sonic Battle (J),2合1 – 索尼克弹珠台 + 战斗索尼克 2 Games in 1 – Sonic Battle + Sonic Pinball Party(JP)(M6)(Sega)
2IN1_ADV_BTL,AGB-BW4J-JPN,2 in 1 - Sonic Advance & Sonic Battle (J),2合1 – 战斗索尼克 + 索尼克大冒险 2 Games in 1 – Sonic Battle + Sonic Advance(JP)(M5)(Sega)
CANDYLAND CH,AGB-BC4E-USA,"3 in 1 - Candy Land, Chutes and Ladders, Memory (U)",3合1 – Candy Land + Chutes and Ladders + Memory Candy Land – Chutes and Ladders – Memory(US)(Destination Software)
THE GAME OF,AGB-B3UE-USA,"3 in 1 - Life, Yahtzee, Payday (U)",3合1 – Life + Yahtzee + Payday Life – Yahtzee – Payday(US)(Destination Software)
NEGIMAGI2,AGB-BNMJ-JPN,Mahou Sensei Negima! Private Lesson 2 (J),魔法老师涅吉! 私人授课 2 Mahou Sensei Negima! – Private Lesson 2(JP)(Victor)
X-MEN: THE O,AGB-B3XE-USA,X-Men - The Official Game (U),X战警 – 官方游戏 X-Men III – The Official Game(US)(Activision)
CALCIOBIT01,AGB-BIXJ-JPN,Calciobit (J),Calciobit Calciobit(JP)(Nintendo)
ANIYOKO2,AGB-BAXJ-JPN,Animal Yokochou - Doki Doki Shinkyuu Shiken! no Kan (J),动物横町 – 心跳心跳升级考试之卷 Animal Yokochou – Dokidoki Shinkyu Shiken(JP)(Konami)
HUBEST_VOL02,AGB-B72J-JPN,Hudson Collection Vol. 2 - Lode Runner Collection (J),Hudson 最佳收藏 2 Hudson Best Collection Vol. 2 – Lode Runner Collection(JP)(Hudson)
ANIYOKO,AGB-BAYJ-JPN,Animal Yokochou - Doki Doki Kyushutsu Daisakusen No Maki (J),动物横町 – 心跳心跳救出大作战之卷 Animal Yokochou – Dokidoki Kyushutsu Daisakusen ! no Maki(JP)(Konami)
PANZOU,AGB-B3IJ-JPN,Mirakuru! Panzou - 7 Tsuno Hosh no Kaizoku (J),梦幻熊猫像 – 7 星宇宙海盗 Miracle! Banzou – 7 Tsuno Hosh no Kaizokuno(JP)(Atlus)
