Internalname,Serial,EngGamename,ChiGamename
VIOLENCE-K,AGB-BZGJ-JPN,Zettai Zetsumei Dangerous Jiisan 2 (J),天才爷爷2 Zettaizetsumei Dangerous Jiisan – Naki no Ikkai Zettai Fukujuu Violence Kouchou(JP)(Kids Station)
STELLVIA_GBA,AGB-BUVJ-JPN,Uchu No Stellvia (J),宇宙学院 Uchuu no Stellvia(JP)(King Records)
PIA33,AGB-BP3J-JPN,Pia Carrot e Youkoso!! 3.3 (J),绯色茶餐厅 Pia Carrot he Youkoso!! 3.3(JP)(Dreamsoft)
SERIOUS SAM,AGB-AENE-USA,Serious Sam Advance (U),英雄萨姆A Serious Sam Advance(US)(M3)(Gotham Games)
TENPINALLEY2,AGB-BTPE-USA,Ten Pin Alley 2 (U),大满贯保龄球 Ten Pin Alley 2(US)(XS Games)
DIGIMONRACIN,AGB-BDGP-EUR,Digimon Racing (E),数码暴龙赛车 Digimon Racing(EU)(M5)(Bandai)
SUPER CLPSE2,AGB-BCLE-USA,Super Collapse II (U),超级坍塌方块2 Super Collapse! II(US)(Majesco Sales)
NARUTO ACT2,AGB-BN2J-JPN,Naruto Saikyou Ninja Daikessyu 2 (J),火影忍者-最强忍者大集合2 Naruto – Saikyou Ninja Daikesshuu 2(JP)(Tomy)
SHININGFORCE,AGB-AF5P-EUR,Shining Force - Resurrection of the Dark Dragon (E),光明力量-暗黑龙的复活 Shining Force – Resurrection of the Dark Dragon(EU)(M5)(Sega)
RETURN KING,AGB-BLRJ-JPN,Lord of The Rings - Ou No Kikan (J),"指环王-王者归来 Lord of the Rings, The – Ou no Kikan(JP)(Electronic Arts)"
NETSAL,AGB-ANVJ-JPN,Shiren Monsters Netsal (J),风来西林怪兽足球 Shiren Monsters Netsal(JP)(ChunSoft)
KCEJ TP2K4S,AGB-B4SJ-JPN,The Prince of Tennis 2004 - Stylish Silver (J),网球王子-时尚之银 Tennis no Ouji-sama 2004 – Stylish Silver(JP)(Konami)
KCEJ TP2K4G,AGB-B4GJ-JPN,The Prince of Tennis 2004 - Glorious Gold (J),网球王子-光荣之金 Tennis no Ouji-sama 2004 – Glorious Gold(JP)(Konami)
JAGUAR,AGB-BPBJ-JPN,Pyuu to Fuku! Jogger Byuu to Deru! Megane-Kun (J),眼睛君 Pyuu to Fuku! Jaguar – Byoo to Deru! Megane-kun(JP)(Konami)
ONPI7TSUJIMA,AGB-AO7K-KOR,Ilgop Seomui Daebomul (K),海贼王-七岛大秘宝 One Piece – Ilgop Seomui Daebomul(KS)(Dai Won)
SHREK 2,AGB-BSEE-USA,Shrek 2 (U),怪物史瑞克2 Shrek 2(UE)(Activision)
VAN HELSING,AGB-BANE-USA,Van Helsing (U),范海辛 Van Helsing(US)(Vivendi)
KURESHIN2004,AGB-BKCJ-JPN,Crayon Shin-Chan - Arashi no Yobu Cinema-Land no Daibouken! (J),蜡笔小新-电影乐园大冒险! Crayon Shin-chan – Arashi wo Yobu Cinema Land no Daibouken!(JP)(Banpresto)
SERIOUS SAM,AGB-AENP-EUR,Serious Sam Advance (E),英雄萨姆A erious Sam Advance(EU)(M3)(Gotham Games)
STEELEMPIRE,AGB-BKTJ-JPN,Kootetsu Teikoku from Hot-B (J),钢铁帝国 Koutetsu Teikoku from HOT-B(JP)(Starfish)
GUNDAMSEED,AGB-BGNJ-JPN,Gundam Seed Battle Assault (J),机动战士高达SEED-友情篇 Kidou Senshi Gundam Seed – Tomo to Kimi to koko de.(JP)(Bandai)
BOKTAI,AGB-U3IP-EUR,Boktai - The Sun is in your Hand (E),我们的太阳 Boktai – The Sun is in Your Hand(EU)(M5)(Konami)
VAN HELSING,AGB-BANP-EUR,Van Helsing (E),范海辛 Van Helsing(EU)(M5)(Vivendi)
SPONGEBOB 01,AGB-MSSE-USA,SpongeBob SquarePants Volume 1 - Gameboy Advance Video (U),GBA电影-超级海绵第1卷 Game Boy Advance Video – SpongeBob SquarePants – Volume 1(US)(Majesco Sales)
SPONGEBOB 02,AGB-MS2E-USA,SpongeBob SquarePants Volume 2 - Gameboy Advance Video (U),GBA电影-超级海绵第2卷 Game Boy Advance Video – SpongeBob SquarePants – Volume 2(US)(Majesco Sales)
FAIRLYODD 02,AGB-MF2E-USA,The Fairly OddParents Volume 2 - Gameboy Advance Video (U),"GBA电影-反斗家族第2卷 Game Boy Advance Video – Fairly Odd Parents!, The – Volume 2(US)(Majesco Sales)"
BOND EON,AGB-BJBJ-JPN,Everything or Nothing (J),詹姆斯邦德007-谁与争锋 007 – Everything or Nothing(JP)(Electronic Arts)
MARIOVSDK,AGB-BM5E-USA,Mario Vs. Donkey Kong (U),马里奥VS大金刚 Mario vs. Donkey Kong(US)(Nintendo)
SONICADVANC3,AGB-B3SE-USA,Sonic Advance 3 (U),索尼克3 Sonic Advance 3(US)(M6)(THQ)
GADGETRACERS,AGB-AQ2P-EUR,Gadget Racers (E),迷你Q版赛车2代变速齿轮之公路旅行 Gadget Racers(EU)(M3)(Zoo Digital)
TWINBEE,AGB-FTWJ-JPN,Famicom Mini - Vol 19 - TwinBee (J),任天堂FC珍藏游戏系列第19辑-兵蜂 Famicom Mini Vol. 19 – Twin Bee(JP)(Nintendo)
BALLOONFIGHT,AGB-FBFJ-JPN,Famicom Mini - Vol 13 - Balloon Fight (J),任天堂FC珍藏游戏系列第13辑-气球岛 Famicom Mini Vol. 13 – Balloon Fight(JP)(Nintendo)
MAKAIMURA,AGB-FMKJ-JPN,Famicom Mini - Vol 18 - Makaimura (J),任天堂FC珍藏游戏系列第18辑-魔界村 Famicom Mini Vol. 18 – Makaimura(JP)(Nintendo)
DIG DUG,AGB-FDDJ-JPN,Famicom Mini - Vol 16 - Dig Dug (J),任天堂FC珍藏游戏系列第16辑-充气人 Famicom Mini Vol. 16 – Dig Dug(JP)(Nintendo)
